Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C34,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,179.900000,-93.500000,90.000000,top
C35,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.550000,-105.850000,90.000000,top
C36,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,177.950000,-93.500000,90.000000,top
C37,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,178.600000,-105.850000,90.000000,top
C38,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,171.125000,-106.175000,180.000000,top
C39,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,164.625000,-97.725000,90.000000,top
C40,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,171.125000,-104.225000,180.000000,top
C41,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.575000,-97.725000,90.000000,top
C42,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,191.925000,-95.125000,0.000000,top
C43,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,184.125000,-101.625000,180.000000,top
C44,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,172.100000,-93.500000,90.000000,top
C45,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,191.925000,-97.075000,0.000000,top
C46,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,181.525000,-100.650000,270.000000,top
C47,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,172.100000,-51.900000,90.000000,top
C48,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,174.050000,-93.500000,90.000000,top
C49,10p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,186.075000,-73.350000,180.000000,top
C50,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,179.900000,-51.900000,90.000000,top
C51,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.550000,-64.250000,90.000000,top
C52,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,177.950000,-51.900000,90.000000,top
C53,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,179.900000,-72.700000,90.000000,top
C54,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,171.125000,-64.575000,180.000000,top
C55,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,164.625000,-56.125000,90.000000,top
C56,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,180.550000,-85.050000,90.000000,top
C57,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,177.950000,-72.700000,90.000000,top
C58,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,191.925000,-53.525000,0.000000,top
